使用メニュー,材料名,合算月間使用量,現在在庫量,単位
"シフォンケーキ, チーズケーキ, プリン",卵,約320個,0,
コーヒー・ドリンク,紅茶,約150g,0,
"コーヒー・ドリンク, シフォンケーキ, プリン",牛乳,約28L,0,
コーヒー・ドリンク,オレンジ・りんごジュース,約13L,0,
ナポリタン,パスタ,約12kg,0,
"トースト系（バタートースト）, トースト系（ピザトースト）",食パン,約11kg,0,
"シフォンケーキ, チーズケーキ",生クリーム,約10L,0,
コーヒー・ドリンク,コーヒー豆,約6.1kg,0,
ナポリタン,トマトソース,約6kg,0,
"シフォンケーキ, チーズケーキ, プリン",砂糖,約5.7kg,0,
"トースト系（ピザトースト）, ナポリタン",玉ねぎ,約5.6kg,0,
チーズケーキ,クリームチーズ,約5kg,0,
ナポリタン,ソーセージ,約3.6kg,0,
"シフォンケーキ, チーズケーキ",薄力粉,約3.5kg,0,
トースト系（ピザトースト）,チーズ,約2kg,0,
シフォンケーキ,サラダ油,約2L,0,
トースト系（ピザトースト）,ピザソース,約2kg,0,
ナポリタン,ピーマン,約1.8kg,0,
トースト系（バタートースト）,バター,約1kg,0,
コーヒー・ドリンク,ココア,約0.8kg,0,
調味料・その他,砂糖,適量 / -,0,
調味料・その他,ガムシロップ,適量 / -,0,
プリン,生クリーム,適量 / -,0,
調味料・その他,オリーブオイル,適量 / -,0,
調味料・その他,紙ナプキン,適量 / -,0,
調味料・その他,クッキングシート,適量 / -,0,
調味料・その他,塩,適量 / -,0,
調味料・その他,コーヒー用ミルク,適量 / -,0,
調味料・その他,ラップ,適量 / -,0,
調味料・その他,マヨネーズ,適量 / -,0,
調味料・その他,ケチャップ,適量 / -,0,
調味料・その他,バニラエッセンス,適量 / -,0,
調味料・その他,アルミホイル,適量 / -,0,
調味料・その他,ソース,適量 / -,0,
調味料・その他,ジャム,適量 / -,0,
調味料・その他,シロップ,適量 / -,0,
調味料・その他,シナモン,適量 / -,0,
調味料・その他,サラダ油,適量 / -,0,
調味料・その他,おしぼり,適量 / -,0,
-,調味料・その他,ジャム,0,
-,調味料・その他,バニラエッセンス,0,
-,調味料・その他,シナモン,0,
-,調味料・その他,コーヒー用ミルク,0,
-,調味料・その他,ガムシロップ,0,
-,調味料・その他,紙ナプキン,0,
-,調味料・その他,おしぼり,0,
-,調味料・その他,ラップ,0,
-,調味料・その他,アルミホイル,0,
-,調味料・その他,クッキングシート,0,
