id,location_id,date,weather,max_temp_c,min_temp_c,avg_temp_c,precipitation_mm,humidity_pct,wind_speed_mps
1,1,2021-09-20,雨,25.6,17.4,21.5,4.4,93.9,5.1
2,2,2021-09-20,雨,25.2,17.2,21.2,0.9,99.0,4.5
3,3,2021-09-20,雨,20.8,12.6,16.7,10.7,97.8,6.1
4,4,2021-09-20,雨,20.5,12.8,16.6,9.8,90.9,4.0
5,1,2021-09-21,曇り,23.4,15.3,19.4,0.0,76.9,2.7
6,2,2021-09-21,晴れ,23.7,15.7,19.7,0.0,62.8,3.1
7,3,2021-09-21,晴れ,19.4,11.2,15.3,0.0,69.7,4.4
8,4,2021-09-21,晴れ,21.8,13.6,17.7,0.0,63.9,5.3
9,1,2021-09-22,雨,24.4,16.2,20.3,66.6,92.0,3.8
10,2,2021-09-22,雨,24.7,16.7,20.7,16.3,94.5,4.6
11,3,2021-09-22,雨,20.0,11.8,15.9,6.7,88.0,5.2
12,4,2021-09-22,雨,21.0,13.1,17.1,11.0,99.0,3.4
13,1,2021-09-23,曇り,26.7,18.3,22.5,0.0,81.2,4.9
14,2,2021-09-23,曇り,25.9,17.8,21.9,0.0,82.1,3.7
15,3,2021-09-23,曇り,21.0,12.9,16.9,0.0,84.5,2.2
16,4,2021-09-23,晴れ,25.3,16.7,21.0,0.0,67.4,1.9
17,1,2021-09-24,曇り,26.2,17.7,21.9,0.0,78.8,4.2
18,2,2021-09-24,曇り,25.4,17.2,21.3,0.0,79.0,3.9
19,3,2021-09-24,曇り,18.9,10.9,14.9,0.0,75.7,3.3
20,4,2021-09-24,曇り,23.3,14.9,19.1,0.0,77.8,3.0
21,1,2021-09-25,曇り,25.6,17.3,21.5,0.0,77.3,3.5
22,2,2021-09-25,曇り,26.2,18.0,22.1,0.0,70.6,2.1
23,3,2021-09-25,晴れ,21.1,12.8,17.0,0.0,61.2,4.0
24,4,2021-09-25,晴れ,24.1,15.8,20.0,0.0,60.5,3.3
25,1,2021-09-26,曇り,25.9,17.5,21.7,0.0,89.7,4.1
26,2,2021-09-26,曇り,25.8,17.5,21.6,0.0,72.7,4.9
27,3,2021-09-26,晴れ,20.9,12.5,16.7,0.0,66.7,2.0
28,4,2021-09-26,曇り,23.2,14.9,19.1,0.0,73.0,3.1
29,1,2021-09-27,雨,23.6,15.5,19.6,15.9,98.1,4.7
30,2,2021-09-27,雨,25.7,17.3,21.5,0.5,84.7,2.3
31,3,2021-09-27,雨,19.3,11.1,15.2,5.9,90.9,4.9
32,4,2021-09-27,雨,21.6,13.4,17.5,6.4,93.4,5.1
33,1,2021-09-28,曇り,23.4,14.8,19.1,0.0,76.5,4.2
34,2,2021-09-28,晴れ,22.6,14.3,18.5,0.0,64.2,5.1
35,3,2021-09-28,曇り,18.9,10.3,14.6,0.0,77.2,1.8
36,4,2021-09-28,曇り,21.6,12.9,17.2,0.0,72.7,3.6
37,1,2021-09-29,雨,24.3,15.6,19.9,12.7,97.8,5.4
